,0
1116,수영
1117,침대
1118,젓가락
1119,말을바꾸다
1120,보행자
1121,도서관
1122,서자
1123,"무조건,봐주지않다,넘어가지않다"
1124,이천
1125,이등
1126,수영장
1127,대
1128,"그저께,그제"
1129,"탑승,오르다,올라서다,올라타다,타다"
1130,비전
1131,"주무시다,자다,잠들다,잠자다"
1132,"쌍생아,쌍둥이"
1133,"눈길,시선,바라보다,응시하다,쳐다보다"
1134,눈감아주다
1135,"걷다,걸음,도보,보행"
1136,"남대문,교량,육교,다리"
1137,"입석,서다"
1138,경마장
1139,두사람
1140,"곤두박질,곤두질,떨어지다"
1141,"미움,미워하다,밉다,얄밉다"
1142,절름발이
1143,"허리띠,벨트"
1144,형사
1145,격일
1146,"두절,끊어지다"
1147,"등산가,산악인"
1148,포경수술
1149,편집
1150,지체장애인
1151,토끼
1152,"익숙하다,능숙하다,숙달"
1153,"보험료,보험금"
1154,호흡
1155,사우디아라비아
1156,뉴질랜드
1157,"교사,교원,사범,선생,스승,교직자"
1158,"와,과,하고"
1159,냄새
1160,분하다
1161,노르웨이
1162,시시하다
1163,어리다
1164,콧물
1165,유치하다
1166,"저축,예금,적금"
1167,"굉장하다,심하다,심각하다"
1168,"어처구니없다,기막히다,어이없다,억울하다"
1169,"의심,의회"
1170,"비교,비례,견주다,대다"
1171,모욕
1172,"대피,도망,도주,도피,줄행랑,탈출,내빼다,달아나다,도망가다,도망치다,빠져나가다"
1173,"판매,매각,매출,팔다"
1174,"마침,딱맞다,알맞다"
1175,만화가
1176,"하야,사임"
1177,매출액
1178,쿠웨이트
1179,장기
1180,잠수함
1181,원숭이
1182,차려
1183,우체국
1184,"향기롭다,향,향기,향내,향취"
1185,때리다
1186,"피의자,용의자"
1187,초밥
1188,"방심,부주의"
1189,바티칸시
1190,우루과이
1191,부엌
1192,신사
1193,열중쉬어
1194,요리사
1195,요리
1196,시리아
1197,반창고
1198,"심호흡,호흡,공기,냄새,대기,목숨,생명,수,수명,숨,숨결,숨쉬다"
1199,절친하다
1200,"금주,술을끊다"
1201,금연
1202,모독
1203,명함
1204,가마
1205,스케이트
1206,친밀하다
1207,들이쉬다
1208,단짝
1209,기적
1210,딱맞다
1211,"담배,흡연"
1212,"술집,주점"
1213,"술,알코올"
1214,마중
1215,설계
1216,"비닐,플라스틱"
1217,몸살
1218,"마술,요술"
1219,선물
1220,만화
1221,"석유,기름"
1222,찹쌀
1223,안주
1224,설계사
1225,벽돌
1226,"피난처,피난소"
1227,소매치기
1228,시설물다리
1229,"감추다,숨다,은닉"
1230,나이지리아
1231,"국제연합,유엔"
1232,"살리다,소생,회생"
1233,호흡곤란
1234,"비닐하우스,비닐온실"
1235,"샘,샘내다,시기,질투"
1236,꼬다
1237,"기차역,역"
1238,존재가없다
1239,"반려,짝,함께,과,쌍"
1240,삐다
1241,"기차표,열차표"
1242,은신처
1243,만화책
1244,환기
1245,"교무실,교원실,서무실"
1246,"지위,앉다"
1247,"점원,판매자,판매원,판매인,세일즈맨"
1248,헌병
1249,폐지
1250,"편지,서신,우편"
1251,"끈,줄,테이프,로프,케이블"
1252,"이발소,이발관"
1253,벽에생기는균열
1254,"바닥나다,비다,비우다"
1255,"유리,거울"
1256,"그릇되다,틀리다"
1257,"삼,인삼"
1258,도미니카
1259,박씨
1260,접시
1261,고려
1262,강화도
1263,밀접하다
1264,"쏘다,대포,발사,포"
1265,소금
1266,십이월
1267,형제
1268,"십이,열둘"
1269,"오누이,남매"
1270,산악
1271,포격
1272,포병
1273,추기경
1274,지체장애
1275,"장갑차,장갑차량"
1276,"산,메,뫼"
1277,차남
1278,"성탄,성탄절,크리스마스"
1279,올케
1280,"오후,점심후"
1281,"오전,상오"
1282,"오빠,오라버니"
1283,"열두시,정오"
1284,동생
1285,"맏아들,장남"
1286,"오후,하오"
1287,오전
1288,"골짜기,산골,산골짜기"
1289,남동생
1290,"연말,세밑"
1291,짬뽕
1292,형수
1293,"형,형님"
1294,병원
1295,ㅁ
1296,"점검,감사,감시,감찰,검토,검사,수사,사찰,조사,살펴보다,살피다"
1297,"찬송가,찬송"
1298,교통
1299,버스
1300,단속
1301,"악취,나쁜냄새"
1302,"기업,회사,사"
1303,"병원,의원"
1304,경비실
1305,한의사
1306,"발신,송신,전보,전신"
1307,"관리인,관리자"
1308,정찰병
1309,"경비,보초,수위,파수,지키다"
1310,"감독관,감독자"
1311,"소나무,솔"
1312,센터
1313,배신하다
1314,제정
1315,입원
1316,입사
1317,"방법,요령,방식"
1318,성악가
1319,유도
1320,의사
1321,교통비
1322,"이십,스물"
1323,"케이블카,케이블"
1324,검사
1325,교통사고
1326,"돌보다,보살피다,보살핌"
1327,"법,법규,법률,법칙"
1328,"몸부림,발버둥질"
1329,보관
1330,가수
1331,농담
1332,송편
1333,"맥박,맥"
